fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,hour,day_of_week
1,0,0,True,0,0.49753873590290004,3,0.35319383188191233,6,0.14498171792947326,2,0.004285714285714285,1,0.0,1,11.0,5.0
1,4,1,False,1,0.35562709023090283,6,0.22927846124339246,2,0.18375182015553523,3,0.17169118174405223,4,0.059651446626116836,5,10.0,1.0
1,3,3,True,3,0.7088452380952383,0,0.28515476190476197,2,0.004,4,0.002,1,0.0,1,15.0,3.0
1,4,3,False,3,0.48004216586646914,4,0.22447515573521756,1,0.13558635520825915,0,0.09055666409613775,2,0.06933965909391604,2,12.0,4.0
1,0,0,True,0,0.6649591036334246,2,0.2781832687530714,1,0.029007903763855897,6,0.02784972384964811,3,0.0,1,8.0,3.0
1,0,2,False,2,0.391480512374783,0,0.20116528353442237,1,0.1815144960717883,6,0.09334202621277304,5,0.08916787115723823,2,9.0,2.0
1,6,3,False,3,0.4329150025204002,2,0.2761086582200795,0,0.21269856624993586,1,0.07827777300958413,4,0.0,7,13.0,5.0
1,0,3,False,3,0.5044816447525383,0,0.3097199568425454,6,0.18579839840491627,1,0.0,2,0.0,2,10.0,5.0
1,1,1,True,1,0.3741370233139836,2,0.3034829024953992,6,0.2817386357782803,3,0.027285325620284264,0,0.01335611279205251,1,8.0,4.0
1,2,2,True,2,0.61011296983669,6,0.1959758653069958,1,0.0907409204933318,0,0.07090629958467598,3,0.02138270423961549,1,8.0,0.0
1,2,2,True,2,0.61011296983669,6,0.1959758653069958,1,0.0907409204933318,0,0.07090629958467598,3,0.02138270423961549,1,8.0,0.0
1,6,1,False,1,0.3741370233139836,2,0.3034829024953992,6,0.2817386357782803,3,0.027285325620284264,0,0.01335611279205251,3,8.0,4.0
1,6,1,False,1,0.37841113524365105,2,0.29715701607935324,6,0.2696457379731817,3,0.02650404564559095,0,0.01865604228061722,3,8.0,1.0
1,2,2,True,2,0.5390484974059239,6,0.29191537048923893,1,0.08465874325523828,0,0.08437738884959892,3,0.0,1,8.0,2.0
1,6,1,False,1,0.37841113524365105,2,0.29715701607935324,6,0.2696457379731817,3,0.02650404564559095,0,0.01865604228061722,3,8.0,1.0
1,3,3,True,3,0.6721147741147739,2,0.31104761904761896,0,0.016837606837606836,1,0.0,4,0.0,1,18.0,0.0
1,3,3,True,3,0.99,0,0.01,1,0.0,2,0.0,4,0.0,1,20.0,1.0
1,3,3,True,3,0.8186881174381169,0,0.18131188256188258,1,0.0,2,0.0,4,0.0,1,12.0,6.0
1,3,3,True,3,0.3981312853812855,2,0.22591672216672204,1,0.13928114940614944,0,0.12481891719391718,5,0.11185192585192585,1,11.0,4.0
1,3,3,True,3,0.99,0,0.01,1,0.0,2,0.0,4,0.0,1,20.0,1.0
1,3,0,False,0,0.49753873590290004,3,0.35319383188191233,6,0.14498171792947326,2,0.004285714285714285,1,0.0,2,11.0,5.0
1,1,1,True,1,0.37841113524365105,2,0.29715701607935324,6,0.2696457379731817,3,0.02650404564559095,0,0.01865604228061722,1,8.0,1.0
1,2,2,True,2,0.61011296983669,6,0.1959758653069958,1,0.0907409204933318,0,0.07090629958467598,3,0.02138270423961549,1,8.0,0.0
1,1,1,True,1,0.4260196663728314,2,0.26298751132734594,6,0.21882567640883802,0,0.06068269212053837,5,0.03148445377044623,1,9.0,1.0
1,1,1,True,1,0.37841113524365105,2,0.29715701607935324,6,0.2696457379731817,3,0.02650404564559095,0,0.01865604228061722,1,8.0,1.0
1,1,3,False,3,0.3981312853812855,2,0.22591672216672204,1,0.13928114940614944,0,0.12481891719391718,5,0.11185192585192585,3,11.0,4.0
1,1,1,True,1,0.20623579341412435,6,0.20514827388654652,3,0.19252358787211588,2,0.18113603143417648,0,0.1286087824943681,1,10.0,4.0
1,1,1,True,1,0.37841113524365105,2,0.29715701607935324,6,0.2696457379731817,3,0.02650404564559095,0,0.01865604228061722,1,8.0,1.0
1,1,1,True,1,0.37841113524365105,2,0.29715701607935324,6,0.2696457379731817,3,0.02650404564559095,0,0.01865604228061722,1,8.0,1.0
1,3,3,True,3,0.9511587301587302,1,0.030968253968253968,0,0.01787301587301587,2,0.0,4,0.0,1,13.0,0.0
1,0,2,False,2,0.5369807803699104,6,0.158654197253293,5,0.10749432253953384,3,0.10514791562767715,0,0.047710245551100317,5,8.0,6.0
1,2,2,True,2,0.5369807803699104,6,0.158654197253293,5,0.10749432253953384,3,0.10514791562767715,0,0.047710245551100317,1,8.0,6.0
