fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,hour,day_of_week
1,2,3,False,3,0.6608121518217002,2,0.1481117086341005,6,0.09791673447162295,7,0.04858989325241004,5,0.03612506737572196,2,13.0,2.0
1,2,9,False,9,0.3443044733044732,7,0.3370382395382394,0,0.15007575757575753,2,0.14858152958152948,3,0.02,4,15.0,5.0
1,1,2,False,2,0.4392224303474304,12,0.23357090132090128,3,0.22414434176934175,1,0.10195121545121545,6,0.0011111111111111111,4,13.0,1.0
1,1,2,False,2,0.7601994849424516,6,0.15322638738783229,3,0.08657412766971588,1,0.0,0,0.0,4,11.0,1.0
1,2,0,False,0,0.23682584445997748,12,0.22965017975660382,2,0.21733493372812251,3,0.1608370853776426,7,0.1553519566776532,3,9.0,2.0
1,0,6,False,6,0.6070875374625372,7,0.13225199800199797,0,0.12572365134865132,2,0.12493681318681313,3,0.01,3,10.0,6.0
1,0,3,False,3,0.2011943512852604,6,0.17368358948553375,2,0.16931336333603056,11,0.16569760189305346,7,0.16025853379754104,10,15.0,2.0
1,0,2,False,2,0.42396153846153856,0,0.42232235252707384,1,0.14371610901138757,3,0.01,4,0.0,2,9.0,3.0
1,0,0,True,0,0.23682584445997748,12,0.22965017975660382,2,0.21733493372812251,3,0.1608370853776426,7,0.1553519566776532,1,9.0,2.0
1,4,3,False,3,0.3523890441098715,2,0.2491945492796058,4,0.16874265695401341,6,0.10300259775517598,5,0.10222855952016792,3,8.0,0.0
1,0,6,False,6,0.5763580031080032,7,0.29091364191364183,0,0.13272835497835495,1,0.0,3,0.0,3,9.0,6.0
1,4,3,False,3,0.3523890441098715,2,0.2491945492796058,4,0.16874265695401341,6,0.10300259775517598,5,0.10222855952016792,3,8.0,0.0
1,4,3,False,3,0.3523890441098715,2,0.2491945492796058,4,0.16874265695401341,6,0.10300259775517598,5,0.10222855952016792,3,8.0,0.0
