fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,hour,day_of_week
1,1,4,False,4,0.3243371256148806,1,0.3119793754410377,3,0.19434236046562658,2,0.09678521951319306,5,0.04823091881187604,2,9.0,4.0
1,3,3,True,3,0.4792098080981353,4,0.33131209799556527,0,0.07432717593632927,2,0.07241417200544499,1,0.02768593171795069,1,8.0,2.0
1,0,0,True,0,0.5705192226755701,2,0.25380519216230524,3,0.08786384570504319,4,0.08781173945708122,1,0.0,1,9.0,3.0
1,1,2,False,2,0.2573258278178044,0,0.22916129563209936,4,0.17650561410765747,3,0.1721478266049913,1,0.12783959747546833,5,9.0,2.0
1,2,4,False,4,0.3243371256148806,1,0.3119793754410377,3,0.19434236046562658,2,0.09678521951319306,5,0.04823091881187604,4,9.0,4.0
1,0,0,True,0,0.5705192226755701,2,0.25380519216230524,3,0.08786384570504319,4,0.08781173945708122,1,0.0,1,9.0,3.0
1,0,2,False,2,0.5487896825396826,0,0.29875,3,0.10174603174603174,1,0.05071428571428571,4,0.0,2,12.0,0.0
1,0,2,False,2,0.6740583160800553,0,0.2996269841269841,6,0.012173913043478262,4,0.006894409937888198,1,0.0067701863354037274,2,7.0,3.0
1,1,4,False,4,0.3243371256148806,1,0.3119793754410377,3,0.19434236046562658,2,0.09678521951319306,5,0.04823091881187604,2,9.0,4.0
1,0,0,True,0,0.5705192226755701,2,0.25380519216230524,3,0.08786384570504319,4,0.08781173945708122,1,0.0,1,9.0,3.0
1,1,1,True,1,0.3881673852565837,4,0.2739333534547008,3,0.24513819576368123,2,0.05316046004171669,0,0.02054227019059665,1,8.0,1.0
1,3,3,True,3,0.6161202420192012,4,0.20537825649139158,0,0.06298497870356459,2,0.0447383406504901,1,0.04264359749784874,1,8.0,0.0
1,4,1,False,1,0.30880369818031916,4,0.2850832898287442,3,0.18918870664338688,2,0.16862684050581703,5,0.0306097427095838,2,8.0,4.0
1,4,1,False,1,0.35602030922742306,6,0.22192922049570654,2,0.16969391669188408,4,0.15294458931609956,0,0.09941196426888645,4,7.0,4.0
1,4,1,False,1,0.3881673852565837,4,0.2739333534547008,3,0.24513819576368123,2,0.05316046004171669,0,0.02054227019059665,2,8.0,1.0
1,4,1,False,1,0.30880369818031916,4,0.2850832898287442,3,0.18918870664338688,2,0.16862684050581703,5,0.0306097427095838,2,8.0,4.0
1,3,3,True,3,0.4792098080981353,4,0.33131209799556527,0,0.07432717593632927,2,0.07241417200544499,1,0.02768593171795069,1,8.0,2.0
1,4,2,False,2,0.42627821752424816,1,0.30149770383396335,4,0.16633367536046378,3,0.05322340528458443,0,0.052666997996739705,3,10.0,1.0
1,4,1,False,1,0.32645024311150295,4,0.2570878876462328,3,0.2528278123693879,2,0.12561493325357767,0,0.03801912361929861,2,9.0,1.0
1,2,2,True,2,1.0,0,0.0,1,0.0,3,0.0,4,0.0,1,6.0,4.0
1,2,3,False,3,0.4839513947275478,2,0.42124304112725575,4,0.09480556414519642,1,0.0,0,0.0,2,8.0,6.0
1,2,2,True,2,0.9449166666666667,6,0.05508333333333333,1,0.0,0,0.0,3,0.0,1,5.0,0.0
