fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
1,1,3,False,3,0.63,0,0.28,1,0.09,2,0.0,4,0.0,3,0 days 00:22:04
1,1,5,False,5,0.468595238095238,3,0.289047619047619,1,0.23485714285714276,0,0.0075,2,0.0,3,0 days 00:16:08
1,3,3,True,3,0.9633333333333333,2,0.026666666666666665,5,0.01,1,0.0,0,0.0,1,0 days 01:02:48
1,0,1,False,1,0.52,0,0.46,2,0.01,3,0.01,4,0.0,2,0 days 00:49:58
1,3,5,False,5,0.59,3,0.23,0,0.18,1,0.0,2,0.0,2,0 days 01:26:26
1,2,2,True,2,0.62,3,0.38,1,0.0,0,0.0,4,0.0,1,0 days 01:03:54
1,1,1,True,1,0.67,0,0.23,5,0.1,2,0.0,3,0.0,1,0 days 00:35:17
1,3,3,True,3,0.5325,0,0.44,1,0.02,5,0.0075,2,0.0,1,0 days 00:16:33
1,0,3,False,3,0.65,4,0.20166666666666663,0,0.14833333333333332,1,0.0,2,0.0,3,0 days 00:45:33
1,3,1,False,1,0.5296666666666666,3,0.46033333333333337,5,0.01,0,0.0,2,0.0,2,0 days 00:16:20
1,3,0,False,0,0.9283333333333332,5,0.04166666666666666,1,0.03,2,0.0,3,0.0,5,0 days 00:29:19
1,3,3,True,3,0.8416666666666667,1,0.15833333333333333,0,0.0,2,0.0,4,0.0,1,0 days 00:15:54
1,3,1,False,1,0.64,2,0.24,0,0.12,3,0.0,4,0.0,4,0 days 00:49:33
1,2,3,False,3,0.89,2,0.1,5,0.01,1,0.0,0,0.0,2,0 days 01:03:59
1,3,3,True,3,0.72,0,0.28,1,0.0,2,0.0,4,0.0,1,0 days 01:13:10
1,0,0,True,0,0.65,3,0.29,1,0.06,2,0.0,4,0.0,1,0 days 00:39:18
1,0,3,False,3,0.8941666666666666,5,0.05583333333333333,1,0.05,0,0.0,2,0.0,4,0 days 00:16:16
1,3,1,False,1,0.48885714285714277,3,0.42280952380952386,0,0.07,5,0.018333333333333333,2,0.0,2,0 days 00:17:43
1,3,2,False,2,0.4200952380952382,3,0.38990476190476187,0,0.19,1,0.0,4,0.0,2,0 days 00:14:47
1,3,0,False,0,0.5944999999999999,2,0.3955,3,0.01,1,0.0,4,0.0,3,0 days 00:14:26
1,3,2,False,2,0.73,3,0.22,5,0.04,0,0.01,1,0.0,2,0 days 00:31:46
1,2,5,False,5,0.75,0,0.25,2,0.0,1,0.0,3,0.0,3,0 days 00:22:15
1,0,1,False,1,0.76,3,0.16,2,0.06,0,0.02,4,0.0,4,0 days 00:08:43
1,3,2,False,2,0.87,0,0.10300000000000001,3,0.027000000000000003,1,0.0,4,0.0,3,0 days 00:52:54
1,5,4,False,4,0.68,0,0.22,3,0.08,5,0.02,2,0.0,4,0 days 01:01:37
1,5,0,False,0,0.88,1,0.12,2,0.0,3,0.0,4,0.0,6,0 days 00:07:29
1,2,3,False,3,0.8076666666666666,2,0.1575,0,0.034833333333333334,1,0.0,4,0.0,2,0 days 00:53:51
1,0,3,False,3,0.58,0,0.42,1,0.0,2,0.0,4,0.0,2,0 days 00:35:59
1,5,1,False,1,0.4520476190476191,0,0.41795238095238096,5,0.13,2,0.0,3,0.0,3,0 days 00:25:59
1,0,2,False,2,0.64,0,0.26,3,0.1,1,0.0,4,0.0,2,0 days 00:36:25
1,4,0,False,0,0.65,2,0.33,3,0.02,1,0.0,4,0.0,5,0 days 01:16:49
1,0,3,False,3,0.69,0,0.3,2,0.01,1,0.0,4,0.0,2,0 days 00:55:26
1,0,0,True,0,0.85,3,0.12,1,0.03,2,0.0,4,0.0,1,0 days 00:40:29
1,0,3,False,3,0.575,0,0.35733333333333334,1,0.06766666666666667,2,0.0,4,0.0,2,0 days 00:37:22
1,1,5,False,5,0.57,1,0.42,3,0.01,0,0.0,2,0.0,2,0 days 00:17:07
1,3,0,False,0,0.68,1,0.19,3,0.13,2,0.0,4,0.0,3,0 days 00:22:54
1,1,0,False,0,0.74,2,0.2,5,0.05,1,0.01,3,0.0,4,0 days 00:32:28
1,0,3,False,3,0.7,5,0.24,1,0.06,0,0.0,2,0.0,4,0 days 00:19:12
1,3,0,False,0,0.76,5,0.24,2,0.0,1,0.0,3,0.0,5,0 days 00:14:50
1,0,0,True,0,0.97,5,0.02,1,0.01,2,0.0,3,0.0,1,0 days 00:06:39
1,3,2,False,2,0.65,1,0.19,5,0.12,3,0.04,0,0.0,4,0 days 00:45:59
1,2,0,False,0,0.99,2,0.01,1,0.0,3,0.0,4,0.0,2,0 days 00:43:59
1,3,3,True,3,0.58,2,0.1647857142857143,5,0.13042857142857142,4,0.12478571428571429,0,0.0,1,0 days 00:47:30
1,3,0,False,0,0.7631666666666667,2,0.22683333333333333,3,0.01,1,0.0,4,0.0,3,0 days 00:15:35
