fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
1,2,2,True,2,0.74,3,0.25,1,0.01,0,0.0,4,0.0,1,0 days 00:05:13
1,0,0,True,0,0.7034675324675324,6,0.2805324675324676,5,0.016,1,0.0,3,0.0,1,0 days 00:35:22
1,0,0,True,0,0.8246666666666667,5,0.16533333333333336,2,0.01,1,0.0,3,0.0,1,0 days 00:43:01
1,0,0,True,0,1.0,1,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:33:56
1,0,0,True,0,0.8552857142857142,5,0.14471428571428574,2,0.0,1,0.0,3,0.0,1,0 days 00:36:13
1,0,0,True,0,0.8906666666666667,7,0.10933333333333334,2,0.0,1,0.0,3,0.0,1,0 days 00:35:52
1,2,2,True,2,0.88,5,0.07,1,0.05,0,0.0,3,0.0,1,0 days 00:03:58
1,0,0,True,0,0.8,5,0.2,2,0.0,1,0.0,3,0.0,1,0 days 00:38:59
1,0,0,True,0,1.0,1,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:56:30
1,0,6,False,6,0.64,0,0.27,3,0.06,5,0.03,2,0.0,2,0 days 00:50:11
1,0,5,False,5,0.66,2,0.28,1,0.06,0,0.0,3,0.0,4,0 days 00:21:45
1,3,6,False,6,0.64,1,0.27,4,0.059333333333333335,0,0.019833333333333335,2,0.010833333333333332,6,0 days 00:15:14
1,0,0,True,0,1.0,1,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:57:08
1,3,4,False,4,0.65,5,0.25,6,0.055,8,0.025,9,0.01,7,0 days 00:32:09
1,0,5,False,5,0.67,0,0.24,7,0.0455,1,0.044500000000000005,3,0.0,2,0 days 01:09:43
1,5,0,False,0,0.65,1,0.18683333333333338,6,0.1631666666666667,2,0.0,3,0.0,7,0 days 00:14:05
1,5,5,True,5,0.66,0,0.33,6,0.006666666666666666,1,0.003333333333333333,3,0.0,1,0 days 00:46:06
1,5,0,False,0,0.94,1,0.05,7,0.01,2,0.0,3,0.0,7,0 days 00:53:38
1,5,0,False,0,0.97,4,0.03,2,0.0,1,0.0,3,0.0,6,0 days 01:00:03
1,5,1,False,1,0.62,0,0.38,2,0.0,3,0.0,4,0.0,6,0 days 01:19:17
1,5,0,False,0,0.53,4,0.47,2,0.0,1,0.0,3,0.0,6,0 days 00:49:09
1,5,6,False,6,0.58,4,0.3,0,0.08,1,0.03,5,0.01,5,0 days 01:21:05
1,5,4,False,4,0.71,5,0.17,0,0.12,1,0.0,3,0.0,2,0 days 00:41:26
1,5,0,False,0,0.72,2,0.27,5,0.01,1,0.0,3,0.0,3,0 days 00:43:07
1,4,0,False,0,0.98,7,0.02,2,0.0,1,0.0,3,0.0,6,0 days 00:52:57
1,4,0,False,0,0.98,6,0.02,2,0.0,1,0.0,3,0.0,6,0 days 01:32:09
1,4,0,False,0,1.0,1,0.0,2,0.0,3,0.0,4,0.0,5,0 days 01:18:17
1,5,1,False,1,0.64,0,0.29,6,0.07,2,0.0,3,0.0,7,0 days 01:06:08
1,5,1,False,1,0.66,8,0.22,0,0.12,2,0.0,4,0.0,6,0 days 00:34:53
1,6,8,False,8,0.63,1,0.24,0,0.13,2,0.0,4,0.0,7,0 days 00:34:52
1,6,6,True,6,0.62,5,0.2,0,0.18,1,0.0,3,0.0,1,0 days 00:38:05
1,6,0,False,0,0.8233333333333335,1,0.09083333333333334,2,0.08583333333333332,3,0.0,4,0.0,7,0 days 00:16:04
1,7,7,True,7,0.61,0,0.38,5,0.01,1,0.0,3,0.0,1,0 days 00:35:38
1,7,0,False,0,0.86,7,0.12,4,0.02,1,0.0,3,0.0,2,0 days 01:01:28
1,6,0,False,0,0.61,6,0.28,5,0.08,1,0.03,3,0.0,2,0 days 01:06:31
1,8,6,False,6,0.62,1,0.22,9,0.16,2,0.0,3,0.0,10,0 days 00:12:01
1,9,6,False,6,0.59,0,0.25916666666666666,2,0.15083333333333332,1,0.0,3,0.0,10,0 days 00:14:50
1,8,8,True,8,0.66,1,0.23,2,0.1,9,0.01,4,0.0,1,0 days 00:08:31
1,6,5,False,5,0.4647857142857142,0,0.4552142857142858,1,0.08,2,0.0,3,0.0,7,0 days 00:35:58
1,8,6,False,6,0.59,0,0.25916666666666666,2,0.15083333333333332,1,0.0,3,0.0,9,0 days 00:14:50
1,9,2,False,2,0.97,9,0.03,1,0.0,0,0.0,4,0.0,2,0 days 00:00:30
1,9,9,True,9,0.91,2,0.09,1,0.0,0,0.0,4,0.0,1,0 days 00:00:31
1,9,9,True,9,1.0,0,0.0,2,0.0,1,0.0,4,0.0,1,0 days 00:00:33
1,6,0,False,0,0.79,1,0.21,2,0.0,3,0.0,4,0.0,7,0 days 00:58:15
1,9,1,False,1,0.9,0,0.07,3,0.03,2,0.0,4,0.0,10,0 days 00:18:33
2,0,5,False,5,0.66,8,0.28,6,0.03,0,0.03,3,0.0,4,0 days 00:29:51
2,0,5,False,5,0.7516666666666666,0,0.2333333333333333,6,0.01,1,0.005,3,0.0,2,0 days 00:36:38
2,0,1,False,1,0.9183333333333333,2,0.08166666666666667,0,0.0,3,0.0,4,0.0,3,0 days 00:22:27
2,0,0,True,0,0.73,5,0.27,2,0.0,1,0.0,3,0.0,1,0 days 00:42:39
2,2,1,False,1,0.42,2,0.42,9,0.1435,0,0.0165,4,0.0,2,0 days 00:14:25
2,1,2,False,2,0.66,6,0.19,8,0.12,5,0.02,0,0.01,8,0 days 00:27:00
2,0,7,False,7,0.67,0,0.33,2,0.0,1,0.0,3,0.0,2,0 days 00:35:53
2,0,0,True,0,1.0,1,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:54:37
2,3,1,False,1,0.5153333333333334,0,0.4180833333333333,4,0.05208333333333334,2,0.014499999999999999,3,0.0,5,0 days 00:15:18
2,0,1,False,1,0.4835238095238095,6,0.4364761904761905,0,0.07,5,0.01,3,0.0,3,0 days 00:46:33
2,1,8,False,8,0.86,2,0.1,9,0.04,0,0.0,4,0.0,7,0 days 00:07:55
2,1,2,False,2,0.5833333333333333,1,0.2658333333333333,0,0.15083333333333335,3,0.0,4,0.0,2,0 days 00:15:55
2,0,9,False,9,0.52,1,0.27,5,0.14,3,0.04,0,0.03,5,0 days 00:28:14
