fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
2,4,4,True,4,0.81,2,0.188,3,0.002,1,0.0,0,0.0,1,0 days 00:29:12
3,0,3,False,3,0.84,4,0.16,1,0.0,0,0.0,2,0.0,4,0 days 00:41:10
3,2,0,False,0,0.674,2,0.266,4,0.06,1,0.0,3,0.0,2,0 days 00:44:02
3,1,3,False,3,0.84,4,0.09,1,0.05,2,0.02,0,0.0,3,0 days 00:40:33
3,3,3,True,3,0.64,2,0.32,1,0.04,0,0.0,4,0.0,1,0 days 00:11:20
3,0,3,False,3,0.6,2,0.33,0,0.07,1,0.0,4,0.0,3,0 days 01:16:30
3,3,3,True,3,0.8,0,0.19,1,0.01,2,0.0,4,0.0,1,0 days 00:03:20
3,3,3,True,3,0.65,0,0.32,1,0.03,2,0.0,4,0.0,1,0 days 00:15:13
3,3,3,True,3,0.8766666666666667,1,0.12333333333333334,0,0.0,2,0.0,4,0.0,1,0 days 00:16:19
3,4,4,True,4,0.72,2,0.22,0,0.05,3,0.01,1,0.0,1,0 days 00:37:56
3,4,3,False,3,0.91,1,0.07,4,0.02,0,0.0,2,0.0,3,0 days 00:20:00
3,2,3,False,3,0.89,1,0.08,0,0.02,2,0.01,4,0.0,4,0 days 00:24:21
3,1,1,True,1,0.9033333333333334,3,0.09,0,0.006666666666666666,2,0.0,4,0.0,1,0 days 00:17:33
3,0,3,False,3,0.56,0,0.44,1,0.0,2,0.0,4,0.0,2,0 days 00:54:52
3,2,4,False,4,0.97,3,0.03,1,0.0,0,0.0,2,0.0,5,0 days 00:41:40
3,1,3,False,3,0.9,1,0.09,0,0.01,2,0.0,4,0.0,2,0 days 00:09:08
3,1,3,False,3,0.66,1,0.34,0,0.0,2,0.0,4,0.0,2,0 days 00:15:23
3,2,0,False,0,0.69,2,0.205,3,0.105,1,0.0,4,0.0,2,0 days 00:26:24
3,2,4,False,4,0.59,3,0.26,2,0.14,0,0.01,1,0.0,3,0 days 00:33:55
3,0,3,False,3,0.5225000000000001,0,0.4175,1,0.06,2,0.0,4,0.0,2,0 days 00:15:57
3,4,3,False,3,0.91,1,0.07,4,0.02,0,0.0,2,0.0,3,0 days 00:20:00
3,0,3,False,3,0.63,0,0.37,1,0.0,2,0.0,4,0.0,2,0 days 00:46:35
3,2,0,False,0,0.7773333333333333,2,0.22266666666666668,1,0.0,3,0.0,4,0.0,2,0 days 00:44:12
3,1,3,False,3,0.86,4,0.12,1,0.02,0,0.0,2,0.0,3,0 days 00:20:22
3,1,1,True,1,0.93,3,0.065,0,0.005,2,0.0,4,0.0,1,0 days 00:16:00
3,3,2,False,2,0.62,0,0.27,3,0.1,1,0.01,4,0.0,3,0 days 00:25:28
3,3,3,True,3,0.47,2,0.42,0,0.06,1,0.05,4,0.0,1,0 days 00:25:02
3,3,3,True,3,0.89,2,0.11,1,0.0,0,0.0,4,0.0,1,0 days 00:58:24
3,3,3,True,3,0.5225000000000001,0,0.4175,1,0.06,2,0.0,4,0.0,1,0 days 00:15:57
3,3,3,True,3,0.65,2,0.28,1,0.07,0,0.0,4,0.0,1,0 days 00:11:11
3,4,2,False,2,0.68,1,0.27,0,0.02,4,0.02,3,0.01,4,0 days 00:36:32
4,3,2,False,2,0.61,4,0.19,1,0.12,3,0.08,0,0.0,4,0 days 00:14:44
4,0,3,False,3,0.68,0,0.18,4,0.13,2,0.01,1,0.0,2,0 days 00:38:51
4,1,3,False,3,0.8203333333333335,1,0.1796666666666667,0,0.0,2,0.0,4,0.0,2,0 days 00:15:51
4,3,0,False,0,0.65,3,0.24,1,0.11,2,0.0,4,0.0,2,0 days 00:15:09
4,3,3,True,3,0.8331666666666666,0,0.1668333333333333,1,0.0,2,0.0,4,0.0,1,0 days 00:57:33
4,2,1,False,1,0.65,4,0.22,0,0.08,3,0.05,2,0.0,5,0 days 00:39:53
4,3,4,False,4,0.54,2,0.26,1,0.14,3,0.06,0,0.0,4,0 days 00:14:48
4,3,3,True,3,0.9,0,0.08,4,0.02,1,0.0,2,0.0,1,0 days 00:23:14
4,4,2,False,2,0.6,3,0.28,4,0.09,0,0.03,1,0.0,3,0 days 00:51:50
4,4,3,False,3,0.71,1,0.28,0,0.01,2,0.0,4,0.0,5,0 days 00:40:16
4,4,4,True,4,0.56,3,0.34,0,0.06,2,0.04,1,0.0,1,0 days 00:48:38
4,1,1,True,1,0.85,0,0.11,3,0.04,2,0.0,4,0.0,1,0 days 00:09:28
4,0,3,False,3,0.84,2,0.16,1,0.0,0,0.0,4,0.0,4,0 days 01:07:33
4,1,1,True,1,0.9,3,0.1,0,0.0,2,0.0,4,0.0,1,0 days 00:15:30
4,1,1,True,1,0.69,3,0.23,2,0.05,4,0.03,0,0.0,1,0 days 00:14:13
4,2,2,True,2,0.98,0,0.01,1,0.01,3,0.0,4,0.0,1,0 days 00:53:58
4,0,3,False,3,0.68,4,0.18,2,0.13,0,0.01,1,0.0,4,0 days 00:43:32
4,2,3,False,3,0.95,0,0.05,1,0.0,2,0.0,4,0.0,4,0 days 00:25:20
4,1,1,True,1,0.63,0,0.23,3,0.09,4,0.03,2,0.02,1,0 days 00:15:01
4,0,1,False,1,0.87,0,0.11,3,0.02,2,0.0,4,0.0,2,0 days 00:09:29
4,0,2,False,2,0.98,0,0.02,1,0.0,3,0.0,4,0.0,2,0 days 00:54:02
4,2,0,False,0,0.74,3,0.25,2,0.01,1,0.0,4,0.0,3,0 days 01:27:54
4,3,3,True,3,0.8331666666666666,0,0.1668333333333333,1,0.0,2,0.0,4,0.0,1,0 days 00:57:27
4,2,2,True,2,0.74,3,0.26,1,0.0,0,0.0,4,0.0,1,0 days 00:01:37
4,1,1,True,1,0.66,4,0.24,3,0.08,0,0.02,2,0.0,1,0 days 00:16:55
4,3,3,True,3,0.78,0,0.21,1,0.01,2,0.0,4,0.0,1,0 days 00:03:19
4,3,0,False,0,0.96,3,0.04,1,0.0,2,0.0,4,0.0,2,0 days 00:55:53
4,3,3,True,3,0.64,1,0.19,0,0.17,2,0.0,4,0.0,1,0 days 00:15:15
4,3,2,False,2,0.6165476190476191,3,0.3734523809523808,0,0.01,1,0.0,4,0.0,2,0 days 00:50:22
4,4,4,True,4,0.8,2,0.18,3,0.01,0,0.01,1,0.0,1,0 days 00:41:53
5,3,1,False,1,0.64,2,0.19416666666666665,3,0.15583333333333335,4,0.01,0,0.0,3,0 days 00:14:37
5,0,3,False,3,0.64,2,0.36,1,0.0,0,0.0,4,0.0,4,0 days 01:04:02
5,1,2,False,2,0.69,0,0.23,1,0.07,4,0.01,3,0.0,3,0 days 00:16:41
5,3,4,False,4,0.9,1,0.07,3,0.03,0,0.0,2,0.0,3,0 days 00:20:45
5,3,1,False,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,4,0 days 00:17:26
5,3,3,True,3,0.96,0,0.04,1,0.0,2,0.0,4,0.0,1,0 days 00:17:09
5,3,4,False,4,0.92,3,0.07,1,0.01,0,0.0,2,0.0,2,0 days 00:19:50
5,3,3,True,3,0.62,1,0.32,0,0.05,4,0.01,2,0.0,1,0 days 00:09:02
5,4,3,False,3,0.59,4,0.36,2,0.05,1,0.0,0,0.0,2,0 days 00:42:19
5,4,4,True,4,0.71,2,0.24,0,0.05,1,0.0,3,0.0,1,0 days 00:38:03
5,4,0,False,0,0.68,3,0.25,2,0.07,1,0.0,4,0.0,5,0 days 00:43:40
5,4,4,True,4,0.55,2,0.21,0,0.14,3,0.1,1,0.0,1,0 days 00:45:29
5,1,0,False,0,0.71,1,0.28,3,0.01,2,0.0,4,0.0,2,0 days 00:09:48
5,2,2,True,2,0.75,3,0.2,0,0.05,1,0.0,4,0.0,1,0 days 01:19:14
5,1,1,True,1,0.7,4,0.26,3,0.04,0,0.0,2,0.0,1,0 days 00:08:31
5,1,1,True,1,0.54,3,0.3636666666666667,0,0.09633333333333331,2,0.0,4,0.0,1,0 days 00:16:00
5,1,1,True,1,0.54,3,0.3636666666666667,0,0.09633333333333331,2,0.0,4,0.0,1,0 days 00:15:59
5,0,3,False,3,0.97,1,0.03,0,0.0,2,0.0,4,0.0,3,0 days 00:15:11
5,0,2,False,2,0.67,3,0.2,0,0.13,1,0.0,4,0.0,3,0 days 01:18:53
5,0,3,False,3,0.64,4,0.2,0,0.1,2,0.04,1,0.02,3,0 days 00:39:19
5,0,1,False,1,0.57,3,0.4,2,0.02,4,0.01,0,0.0,5,0 days 00:24:35
5,2,2,True,2,0.5206666666666666,0,0.47933333333333344,1,0.0,3,0.0,4,0.0,1,0 days 00:44:27
5,3,1,False,1,0.7,4,0.23,3,0.06,2,0.01,0,0.0,3,0 days 00:40:28
5,2,2,True,2,0.63,0,0.36,3,0.01,1,0.0,4,0.0,1,0 days 00:43:57
5,3,0,False,0,0.75,3,0.16,2,0.09,1,0.0,4,0.0,2,0 days 01:08:18
5,2,0,False,0,0.57,2,0.31,3,0.06,4,0.06,1,0.0,2,0 days 00:47:52
5,1,4,False,4,0.54,2,0.31,1,0.13,3,0.02,0,0.0,3,0 days 00:18:46
5,3,1,False,1,0.77,0,0.22,3,0.01,2,0.0,4,0.0,3,0 days 00:10:02
5,2,2,True,2,0.65,3,0.35,1,0.0,0,0.0,4,0.0,1,0 days 00:01:29
5,3,2,False,2,0.83,3,0.12,1,0.05,0,0.0,4,0.0,2,0 days 00:11:54
6,3,0,False,0,0.78,4,0.13,2,0.09,1,0.0,3,0.0,5,0 days 00:43:29
6,2,2,True,2,0.7401666666666666,3,0.2498333333333333,0,0.01,1,0.0,4,0.0,1,0 days 00:50:10
6,3,3,True,3,0.9,2,0.1,1,0.0,0,0.0,4,0.0,1,0 days 00:58:39
6,1,3,False,3,0.5175,1,0.4825000000000001,0,0.0,2,0.0,4,0.0,2,0 days 00:16:10
6,1,3,False,3,0.825,2,0.135,4,0.04,1,0.0,0,0.0,4,0 days 00:14:31
6,0,2,False,2,0.9893333333333334,0,0.010666666666666666,1,0.0,3,0.0,4,0.0,2,0 days 00:44:05
6,3,0,False,0,0.88,2,0.08833333333333332,3,0.03166666666666666,1,0.0,4,0.0,3,0 days 00:49:56
6,3,4,False,4,0.4648333333333333,0,0.42516666666666664,3,0.09,1,0.02,2,0.0,3,0 days 00:16:27
6,4,1,False,1,0.87,4,0.12,2,0.01,0,0.0,3,0.0,2,0 days 00:08:18
6,4,3,False,3,0.62,0,0.25,4,0.13,1,0.0,2,0.0,3,0 days 00:48:53
6,2,3,False,3,0.7,2,0.25,4,0.05,1,0.0,0,0.0,2,0 days 00:28:16
6,1,3,False,3,0.75,1,0.25,0,0.0,2,0.0,4,0.0,2,0 days 00:15:48
6,2,4,False,4,0.65,3,0.28,2,0.07,1,0.0,0,0.0,3,0 days 00:31:54
6,0,4,False,4,0.69,2,0.29,3,0.01,0,0.01,1,0.0,4,0 days 00:37:34
6,1,1,True,1,0.59,3,0.25,2,0.12,4,0.04,0,0.0,1,0 days 00:19:21
6,2,2,True,2,0.64,3,0.32,0,0.04,1,0.0,4,0.0,1,0 days 01:04:51
6,1,1,True,1,0.77,2,0.18,3,0.05,0,0.0,4,0.0,1,0 days 00:13:17
6,0,1,False,1,0.66,3,0.34,0,0.0,2,0.0,4,0.0,3,0 days 00:17:16
