fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,hour,day_of_week
1,1,1,True,1,0.3361367349970291,0,0.2562040361599185,2,0.16669327241386064,7,0.08230151629416335,6,0.08161034880152526,1,9.0,6.0
1,4,4,True,4,0.36153593689751184,8,0.22148693787122947,0,0.19116167961199473,1,0.16963506183833071,2,0.05618038378093295,1,9.0,6.0
1,3,1,False,1,0.4309898695393051,5,0.2410946657592057,7,0.15397331903696201,6,0.04613846676984876,2,0.04428873075202651,6,9.0,6.0
1,5,0,False,0,0.5623503006315849,1,0.3391848557360519,7,0.043361577061561525,4,0.03155790328639525,6,0.011570049459025839,9,9.0,6.0
1,5,5,True,5,0.36705371462419306,6,0.2585780923644268,7,0.2558751099282885,1,0.05603175906693138,4,0.025288822098139367,1,9.0,6.0
1,7,6,False,6,0.5855956637356577,7,0.21445846914248665,2,0.054217809021905136,1,0.05243717781781022,5,0.0405379570568456,2,9.0,6.0
1,6,6,True,6,0.6883856636650179,7,0.21822737183680707,0,0.09338696449817468,1,0.0,3,0.0,1,9.0,6.0
1,4,0,False,0,0.3711155315690272,1,0.36064208605786513,4,0.09637205509831358,6,0.0947481778641049,7,0.05185645229250909,3,9.0,6.0
1,7,5,False,5,0.3608050792893108,7,0.27028732896275465,6,0.18626235478858735,0,0.05420824944407536,1,0.03961774860639133,2,9.0,6.0
1,5,5,True,5,0.3575181909371895,6,0.2952690688510878,7,0.19706816415214898,1,0.07580321709050217,3,0.038718254270066324,1,9.0,6.0
1,7,1,False,1,0.2860060494420123,5,0.26028723918437846,7,0.20727744436108245,6,0.12580164784852385,0,0.06102231379103764,3,9.0,6.0
1,6,6,True,6,0.5104520084731625,7,0.33600290466728694,4,0.06105690901730434,0,0.03454384601607979,5,0.03381000198675604,1,9.0,6.0
1,6,6,True,6,0.5855956637356577,7,0.21445846914248665,2,0.054217809021905136,1,0.05243717781781022,5,0.0405379570568456,1,9.0,6.0
1,7,1,False,1,0.35028796806098855,0,0.32304215087335086,7,0.18429745340228848,5,0.07632030366378498,6,0.03409933321733394,3,9.0,6.0
1,7,5,False,5,0.352117888861793,6,0.20955710685429757,7,0.1972144058885214,1,0.06955321360633766,0,0.052501939879132375,3,9.0,6.0
1,1,1,True,1,0.2860060494420123,5,0.26028723918437846,7,0.20727744436108245,6,0.12580164784852385,0,0.06102231379103764,1,9.0,6.0
1,0,1,False,1,0.35028796806098855,0,0.32304215087335086,7,0.18429745340228848,5,0.07632030366378498,6,0.03409933321733394,2,9.0,6.0
1,0,6,False,6,0.6883856636650179,7,0.21822737183680707,0,0.09338696449817468,1,0.0,3,0.0,3,9.0,6.0
1,1,0,False,0,0.5623503006315849,1,0.3391848557360519,7,0.043361577061561525,4,0.03155790328639525,6,0.011570049459025839,2,9.0,6.0
1,0,0,True,0,0.9928571428571429,6,0.005,2,0.0014285714285714286,1,0.0007142857142857143,3,0.0,1,9.0,6.0
1,0,0,True,0,0.9011291543423896,4,0.09887084565761034,2,0.0,1,0.0,3,0.0,1,9.0,6.0
1,0,0,True,0,0.9011291543423896,4,0.09887084565761034,2,0.0,1,0.0,3,0.0,1,9.0,6.0
1,1,5,False,5,0.3575181909371895,6,0.2952690688510878,7,0.19706816415214898,1,0.07580321709050217,3,0.038718254270066324,4,9.0,6.0
1,0,6,False,6,0.6883856636650179,7,0.21822737183680707,0,0.09338696449817468,1,0.0,3,0.0,3,9.0,6.0
1,1,0,False,0,0.6375100638109539,1,0.18906214557146528,4,0.07106611351273451,6,0.0654619176802609,2,0.03314121060255795,2,9.0,6.0
1,0,4,False,4,0.4248452921854895,6,0.3044202781610686,0,0.10269293777211042,2,0.08115695175260931,1,0.05909012988085637,3,9.0,6.0
1,4,2,False,2,0.9307959378595725,1,0.06920406214042739,0,0.0,3,0.0,4,0.0,5,9.0,6.0
1,4,1,False,1,0.30503595441070497,7,0.18032189413037794,0,0.15366533067751464,4,0.14925260460351622,2,0.08685779454792117,4,9.0,6.0
1,5,5,True,5,0.3350878267211612,1,0.32028593683383766,0,0.1742551337870491,7,0.08936252686117432,2,0.041504955265520345,1,9.0,6.0
1,6,4,False,4,0.3468815799851343,6,0.20667005217583231,0,0.18132308583496634,7,0.07787196621094349,1,0.07672477602610991,2,9.0,6.0
