fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,distance
2,2,2,True,2,0.62,3,0.25,0,0.13,1,0.0,4,0.0,1,0 days 04:01:32.600000
2,4,3,False,3,0.59,2,0.28,4,0.1,0,0.03,1,0.0,3,0 days 01:49:16.100000
3,0,2,False,2,0.61,4,0.25,3,0.14,1,0.0,0,0.0,5,0 days 02:19:07.900000
3,2,4,False,4,0.62,0,0.19,3,0.15,2,0.04,1,0.0,4,0 days 02:26:48.700000
3,1,2,False,2,0.68,3,0.28,0,0.03,4,0.01,1,0.0,5,0 days 02:54:05.200000
3,3,4,False,4,0.67,3,0.28,0,0.04,1,0.01,2,0.0,2,0 days 00:53:51.700000
3,0,2,False,2,0.9,3,0.1,1,0.0,0,0.0,4,0.0,4,0 days 04:04:50.900000
3,3,3,True,3,0.98,1,0.02,0,0.0,2,0.0,4,0.0,1,0 days 00:20:16.100000
3,3,3,True,3,0.63,0,0.26,4,0.1,1,0.01,2,0.0,1,0 days 00:53:52.800000
3,3,3,True,3,0.6,1,0.39,2,0.01,0,0.0,4,0.0,1,0 days 00:55:38.600000
3,4,0,False,0,0.69,2,0.27,4,0.03,3,0.01,1,0.0,3,0 days 02:14:12.600000
3,4,4,True,4,0.64,0,0.33,3,0.02,2,0.01,1,0.0,1,0 days 01:24:28.500000
3,2,0,False,0,0.63,2,0.27,3,0.08,4,0.02,1,0.0,2,0 days 01:34:02.900000
3,1,3,False,3,0.69,1,0.3,2,0.01,0,0.0,4,0.0,2,0 days 00:56:02
3,0,3,False,3,0.69,4,0.25,0,0.06,1,0.0,2,0.0,3,0 days 03:08:39.700000
3,2,0,False,0,0.76,4,0.2,2,0.04,1,0.0,3,0.0,3,0 days 02:40:55.500000
3,1,1,True,1,0.72,0,0.27,3,0.01,2,0.0,4,0.0,1,0 days 00:28:36.600000
3,1,3,False,3,0.93,1,0.07,0,0.0,2,0.0,4,0.0,2,0 days 00:53:38.800000
3,2,0,False,0,0.63,2,0.27,3,0.08,4,0.02,1,0.0,2,0 days 01:34:06.300000
3,2,2,True,2,0.61,4,0.25,3,0.14,1,0.0,0,0.0,1,0 days 02:18:53.700000
3,0,0,True,0,0.56,3,0.35,1,0.08,4,0.01,2,0.0,1,0 days 00:57:23.300000
3,4,0,False,0,0.63,4,0.3,3,0.07,1,0.0,2,0.0,2,0 days 01:23:03.300000
3,0,0,True,0,0.7,2,0.21,4,0.06,3,0.03,1,0.0,1,0 days 02:41:01.400000
3,2,0,False,0,0.76,4,0.2,2,0.04,1,0.0,3,0.0,3,0 days 02:40:56.700000
3,1,2,False,2,0.64,3,0.24,1,0.12,0,0.0,4,0.0,3,0 days 00:54:54.700000
3,1,1,True,1,0.68,3,0.32,0,0.0,2,0.0,4,0.0,1,0 days 00:53:43.200000
3,3,0,False,0,0.63,3,0.28,4,0.09,1,0.0,2,0.0,2,0 days 01:21:45.700000
3,3,4,False,4,0.81,2,0.17,0,0.02,1,0.0,3,0.0,5,0 days 01:53:21.400000
3,3,0,False,0,0.61,2,0.25,3,0.14,1,0.0,4,0.0,3,0 days 03:10:59.200000
3,3,1,False,1,0.91,3,0.09,0,0.0,2,0.0,4,0.0,2,0 days 00:53:34.600000
3,3,1,False,1,0.85,3,0.14,0,0.01,2,0.0,4,0.0,2,0 days 00:32:04.300000
3,4,2,False,2,0.65,3,0.26,0,0.09,1,0.0,4,0.0,5,0 days 02:41:05.200000
4,3,0,False,0,0.85,1,0.14,3,0.01,2,0.0,4,0.0,3,0 days 00:51:57.900000
4,0,4,False,4,0.6,2,0.39,0,0.01,1,0.0,3,0.0,3,0 days 02:14:13
4,1,1,True,1,0.78,4,0.21,3,0.01,0,0.0,2,0.0,1,0 days 00:53:45.400000
4,3,1,False,1,0.7,3,0.3,0,0.0,2,0.0,4,0.0,2,0 days 00:53:40.200000
4,3,2,False,2,0.65,0,0.22,3,0.12,4,0.01,1,0.0,3,0 days 03:13:02
4,2,2,True,2,0.71,0,0.27,4,0.02,1,0.0,3,0.0,1,0 days 02:39:07.900000
4,3,3,True,3,0.63,2,0.29,1,0.08,0,0.0,4,0.0,1,0 days 00:42:20.700000
4,3,2,False,2,0.65,3,0.2,4,0.15,1,0.0,0,0.0,2,0 days 01:57:10.300000
4,4,4,True,4,0.69,3,0.18,2,0.08,0,0.05,1,0.0,1,0 days 02:50:22.900000
4,4,0,False,0,0.62,2,0.31,3,0.07,1,0.0,4,0.0,5,0 days 02:20:43.800000
4,4,4,True,4,0.69,3,0.18,2,0.08,0,0.05,1,0.0,1,0 days 02:50:22.300000
4,1,1,True,1,0.88,4,0.08,3,0.04,0,0.0,2,0.0,1,0 days 00:25:03
4,0,3,False,3,0.62,2,0.38,1,0.0,0,0.0,4,0.0,4,0 days 03:51:58.500000
4,1,3,False,3,0.64,1,0.36,0,0.0,2,0.0,4,0.0,2,0 days 00:53:40.600000
4,1,3,False,3,0.67,1,0.33,0,0.0,2,0.0,4,0.0,2,0 days 00:53:39.300000
4,2,3,False,3,0.57,4,0.3,2,0.08,0,0.05,1,0.0,3,0 days 02:50:20.800000
4,0,3,False,3,0.7,2,0.29,0,0.01,1,0.0,4,0.0,3,0 days 02:44:09.300000
4,2,0,False,0,0.85,4,0.14,2,0.01,1,0.0,3,0.0,3,0 days 01:28:01.900000
4,1,3,False,3,0.63,2,0.29,1,0.08,0,0.0,4,0.0,3,0 days 00:42:05.700000
4,0,0,True,0,0.65,1,0.23,3,0.12,2,0.0,4,0.0,1,0 days 00:33:31.900000
4,0,0,True,0,0.62,2,0.35,3,0.03,1,0.0,4,0.0,1,0 days 03:07:53.400000
4,2,0,False,0,0.77,2,0.23,1,0.0,3,0.0,4,0.0,2,0 days 04:34:24.800000
4,3,0,False,0,0.58,2,0.41,3,0.01,1,0.0,4,0.0,3,0 days 03:15:47.700000
4,2,2,True,2,0.71,0,0.17,1,0.11,3,0.01,4,0.0,1,0 days 00:08:46
4,1,3,False,3,0.75,1,0.25,0,0.0,2,0.0,4,0.0,2,0 days 00:53:35.200000
4,3,3,True,3,0.95,1,0.05,0,0.0,2,0.0,4,0.0,1,0 days 00:18:54.400000
4,3,4,False,4,0.59,0,0.3,3,0.1,2,0.01,1,0.0,3,0 days 03:08:23.300000
4,3,1,False,1,0.71,3,0.29,0,0.0,2,0.0,4,0.0,2,0 days 00:53:38.500000
4,3,1,False,1,0.61,2,0.29,3,0.1,0,0.0,4,0.0,3,0 days 03:01:37.400000
4,4,3,False,3,0.54,1,0.27,2,0.13,4,0.06,0,0.0,4,0 days 02:52:37.500000
5,3,1,False,1,0.99,0,0.01,2,0.0,3,0.0,4,0.0,4,0 days 00:41:02.100000
5,0,2,False,2,0.61,0,0.19557142857142856,3,0.1944285714285714,1,0.0,4,0.0,2,0 days 03:35:59.700000
5,1,2,False,2,0.68,1,0.24,3,0.07,0,0.01,4,0.0,2,0 days 00:48:30.300000
5,3,1,False,1,0.63,0,0.24,3,0.13,2,0.0,4,0.0,3,0 days 00:53:58.900000
