fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,distance
1,3,1,False,1,0.72,2,0.24,7,0.04,0,0.0,3,0.0,5,0 days 01:20:51
1,3,8,False,8,0.73,1,0.27,2,0.0,0,0.0,4,0.0,8,0 days 02:37:00
1,2,2,True,2,0.56,6,0.37,1,0.05,8,0.02,3,0.0,1,0 days 00:08:05.100000
1,2,2,True,2,0.68,1,0.29,7,0.03,0,0.0,3,0.0,1,0 days 01:20:50.200000
1,4,0,False,0,0.89,7,0.1,3,0.01,1,0.0,2,0.0,6,0 days 04:55:29.600000
1,2,6,False,6,0.69,0,0.26,2,0.05,1,0.0,3,0.0,3,0 days 02:14:42.100000
1,0,3,False,3,0.62,7,0.2,1,0.13,0,0.05,2,0.0,4,0 days 04:55:24.400000
1,2,7,False,7,0.58,3,0.24,1,0.13,0,0.03,6,0.01,7,0 days 04:55:21.100000
1,0,2,False,2,0.6,8,0.33,4,0.06,1,0.01,3,0.0,8,0 days 03:07:55.700000
1,4,4,True,4,0.7,6,0.25,8,0.04,2,0.01,3,0.0,1,0 days 00:12:22.900000
1,4,1,False,1,0.72,3,0.24,4,0.04,0,0.0,2,0.0,3,0 days 01:21:11.100000
1,4,7,False,7,0.61,8,0.23,2,0.15,4,0.01,3,0.0,4,0 days 04:06:44.900000
1,1,5,False,5,0.67,1,0.21,7,0.08,6,0.03,8,0.01,2,0 days 03:09:26.800000
1,7,4,False,4,0.62,7,0.26,8,0.08,1,0.04,3,0.0,2,0 days 04:34:51.500000
1,1,1,True,1,0.6,3,0.35,8,0.05,0,0.0,4,0.0,1,0 days 00:54:54.600000
1,7,6,False,6,0.7,4,0.25,8,0.04,2,0.01,3,0.0,9,0 days 00:12:40.100000
1,7,1,False,1,0.72,2,0.28,0,0.0,3,0.0,4,0.0,8,0 days 04:28:35.800000
1,5,5,True,5,0.7,7,0.27,1,0.02,0,0.01,3,0.0,1,0 days 07:09:56.200000
1,1,2,False,2,0.89,3,0.11,1,0.0,0,0.0,4,0.0,3,0 days 00:55:06.500000
1,1,5,False,5,0.66,6,0.24,2,0.08,0,0.01,1,0.01,5,0 days 05:24:49.600000
1,7,7,True,7,0.86,0,0.05,5,0.05,1,0.03,8,0.01,1,0 days 04:47:55
1,1,1,True,1,0.61,8,0.2,6,0.11,2,0.06,4,0.02,1,0 days 01:56:28.300000
1,7,1,False,1,0.73,2,0.22,7,0.05,0,0.0,3,0.0,3,0 days 01:49:07.800000
1,4,3,False,3,0.67,1,0.27,2,0.06,0,0.0,4,0.0,5,0 days 00:57:09.100000
1,4,1,False,1,0.74,3,0.23,2,0.03,0,0.0,4,0.0,5,0 days 00:57:05.700000
1,4,8,False,8,0.97,4,0.03,2,0.0,0,0.0,3,0.0,2,0 days 03:37:46.500000
1,2,6,False,6,0.6,0,0.24,2,0.08,7,0.07,4,0.01,3,0 days 04:29:59.100000
1,3,2,False,2,0.71,1,0.25666666666666665,3,0.03333333333333333,0,0.0,4,0.0,3,0 days 00:54:11.100000
1,1,2,False,2,0.7,6,0.17,0,0.1,4,0.02,3,0.01,6,0 days 02:18:17
1,7,3,False,3,0.59,1,0.35,2,0.06,0,0.0,4,0.0,8,0 days 01:21:08.100000
1,3,1,False,1,0.68,2,0.22,4,0.08,8,0.02,3,0.0,5,0 days 02:35:56.100000
1,1,2,False,2,0.61,8,0.35,4,0.03,7,0.01,3,0.0,6,0 days 02:42:01
1,3,2,False,2,0.69,7,0.21,3,0.08,6,0.02,0,0.0,3,0 days 02:11:38.800000
